P_x,P_y,P_z,theta1,theta2,d3,theta4,R0,R1,R2,R3,R4,R5,R6,R7,R8
-29.96893849315487,192.66617487495188,-198.82965657966608,61.99618419599322,128.78659337573944,48.82965657966608,-32.53544253830181,0.5863582515281199,0.8100518507261657,-2.2911432285282104e-17,0.8100518507261657,-0.58635825152812,1.2030238608296809e-16,8.401686311847906e-17,-8.909974488374997e-17,-1.0
327.40094331074056,213.46683779149868,-206.79180573107777,23.63528569145573,25.38339302295908,56.79180573107777,175.55187129395017,0.21619229683355762,-0.9763508031388262,9.245145482895596e-17,-0.9763508031388262,-0.2161922968335576,-8.031392361619553e-17,9.840185619097874e-17,-7.290180055930386e-17,-1.0
230.19603072931486,-281.8555425673711,-192.94421312463578,-32.14126900679298,-50.76986563658677,42.944213124635766,27.89786463195869,-0.9714658343378759,0.23717953687916415,-1.215285524784764e-16,0.23717953687916413,0.9714658343378758,-1.5113198175925117e-17,1.1447629528524844e-16,-4.3506041469928986e-17,-1.0
-131.24751242763108,-266.78657819400115,-276.4006960390817,-85.93134840052312,-87.40094542643374,126.40069603908171,156.69982712592846,-0.802447017473513,-0.5967233732206771,-1.4219488396278557e-17,-0.5967233732206771,0.802447017473513,1.216363595984633e-16,-6.117287275228536e-17,1.0609183505742221e-16,-1.0
-128.59694861201422,-160.7470457687168,-331.1432682417118,-91.82159093527393,-124.63242559531801,181.1432682417118,132.25169605719506,-0.9051260919541028,0.4251432201786747,7.276575116902859e-17,0.4251432201786745,0.9051260919541029,9.850250394495355e-17,-2.3984508260907387e-17,1.2009305221411039e-16,-1.0
210.757111265715,338.7229972683423,-282.7838775121839,54.877218687405076,8.624995717370295,132.7838775121839,-77.533987688351,-0.9096830168683112,-0.4153032733092381,1.0959996195310845e-16,-0.4153032733092381,0.9096830168683112,-5.463923651091545e-17,-7.700937026405501e-17,-9.522160846232464e-17,-1.0
352.3441309687137,95.57009087827741,-193.49469415161747,-3.1500608150311984,49.929199692302674,43.49469415161745,75.32813269728993,0.9498075911222326,0.3128346845325524,8.924238056654263e-17,0.3128346845325523,-0.9498075911222327,-8.386534050151438e-17,5.852710317291507e-17,1.0757404901185756e-16,-1.0
200.7384709320259,-109.66590777701961,-427.90964475567426,7.526218144852635,-115.82980610284206,277.90964475567426,173.03392935479908,0.8691403408559775,-0.4945655344812811,-1.1626867900376164e-16,-0.4945655344812811,-0.8691403408559776,3.846026663114556e-17,-1.2007492162292874e-16,2.407511212572226e-17,-1.0
215.21983191334826,334.93979573474917,-235.06528209895188,52.982941298616694,11.462041530190708,85.06528209895188,-157.66403675208238,0.2849189250542932,-0.9585516189261307,1.104841413175749e-16,-0.9585516189261306,-0.2849189250542933,-5.282851828261623e-17,8.211788450502054e-17,-9.085290788433072e-17,-1.0
-72.08276934164559,387.214425180337,-390.02130295535875,108.3030320472084,-20.75906307575262,240.02130295535875,-45.74967406233506,-0.756565952444992,-0.6539173950897791,1.2235218399051152e-16,-0.6539173950897792,0.7565659524449919,-5.247942393986395e-18,-8.913577579464942e-17,-8.397863597430343e-17,-1.0
